Country,Year,Status,Life_Expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness_1to19_years,thinness_5to9_years,Income composition of resources,Schooling,winsorized_Life_Expectancy,winsorized_Adult_Mortality,winsorized_Infant_Deaths,winsorized_Alcohol,winsorized_Percentage_Exp,winsorized_HepatitisB,winsorized_Under_Five_Deaths,winsorized_Polio,winsorized_Tot_Exp,winsorized_Diphtheria,winsorized_HIV,winsorized_GDP,winsorized_Population,winsorized_thinness_1to19_years,winsorized_thinness_5to9_years,winsorized_Income_Comp_Of_Resources,winsorized_Schooling
Afghanistan,2015,Developing,65.0,263.0,62,0.01,71.27962362,65.0,19.1,83,6.0,8.16,65.0,0.1,584.2592099999999,33736494.0,17.2,17.3,0.479,10.1,65.0,263.0,61,0.01,71.27962362,65.0,83,44.0,8.16,65.0,0.1,584.2592099999999,16993354.0,15.7,16.3,0.479,10.1
Afghanistan,2014,Developing,59.9,271.0,64,0.01,73.52358168,62.0,18.6,86,58.0,8.18,62.0,0.1,612.696514,327582.0,17.5,17.5,0.47600000000000003,10.0,59.9,271.0,61,0.01,73.52358168,62.0,85,58.0,8.18,62.0,0.1,612.696514,327582.0,15.7,16.3,0.47600000000000003,10.0
Afghanistan,2013,Developing,59.9,268.0,66,0.01,73.21924272,64.0,18.1,89,62.0,8.13,64.0,0.1,631.744976,31731688.0,17.7,17.7,0.47,9.9,59.9,268.0,61,0.01,73.21924272,64.0,85,62.0,8.13,64.0,0.1,631.744976,16993354.0,15.7,16.3,0.47,9.9
Afghanistan,2012,Developing,59.5,272.0,69,0.01,78.18421529999999,67.0,17.6,93,67.0,8.52,67.0,0.1,669.959,3696958.0,17.9,18.0,0.46299999999999997,9.8,59.5,272.0,61,0.01,78.18421529999999,67.0,85,67.0,8.52,67.0,0.1,669.959,3696958.0,15.7,16.3,0.46299999999999997,9.8
Afghanistan,2011,Developing,59.2,275.0,71,0.01,7.097108703,68.0,17.2,97,68.0,7.87,68.0,0.1,63.537231000000006,2978599.0,18.2,18.2,0.45399999999999996,9.5,59.2,275.0,61,0.01,7.097108703,68.0,85,68.0,7.87,68.0,0.1,63.537231000000006,2978599.0,15.7,16.3,0.45399999999999996,9.5
Afghanistan,2010,Developing,58.8,279.0,74,0.01,79.67936736,66.0,16.7,102,66.0,9.2,66.0,0.1,553.32894,2883167.0,18.4,18.4,0.44799999999999995,9.2,58.8,279.0,61,0.01,79.67936736,66.0,85,66.0,9.2,66.0,0.1,553.32894,2883167.0,15.7,16.3,0.44799999999999995,9.2
Afghanistan,2009,Developing,58.6,281.0,77,0.01,56.76221682,63.0,16.2,106,63.0,9.42,63.0,0.1,445.89329789999994,284331.0,18.6,18.7,0.434,8.9,58.6,281.0,61,0.01,56.76221682,63.0,85,63.0,9.42,63.0,0.1,445.89329789999994,284331.0,15.7,16.3,0.434,8.9
Afghanistan,2008,Developing,58.1,287.0,80,0.03,25.87392536,64.0,15.7,110,64.0,8.33,64.0,0.1,373.3611163,2729431.0,18.8,18.9,0.433,8.7,58.1,287.0,61,0.03,25.87392536,64.0,85,64.0,8.33,64.0,0.1,373.3611163,2729431.0,15.7,16.3,0.433,8.7
Afghanistan,2007,Developing,57.5,295.0,82,0.02,10.91015598,63.0,15.2,113,63.0,6.73,63.0,0.1,369.835796,26616792.0,19.0,19.1,0.415,8.4,57.5,295.0,61,0.02,10.91015598,63.0,85,63.0,6.73,63.0,0.1,369.835796,16993354.0,15.7,16.3,0.415,8.4
Afghanistan,2006,Developing,57.3,295.0,84,0.03,17.17151751,64.0,14.7,116,58.0,7.43,58.0,0.1,272.56377000000003,2589345.0,19.2,19.3,0.405,8.1,57.3,295.0,61,0.03,17.17151751,64.0,85,58.0,7.43,58.0,0.1,272.56377000000003,2589345.0,15.7,16.3,0.405,8.1
Afghanistan,2005,Developing,57.3,291.0,85,0.02,1.388647732,66.0,14.2,118,58.0,8.7,58.0,0.1,25.2941299,257798.0,19.3,19.5,0.396,7.9,57.3,291.0,61,0.02,1.388647732,66.0,85,58.0,8.7,58.0,0.1,25.2941299,257798.0,15.7,16.3,0.396,7.9
Afghanistan,2004,Developing,57.0,293.0,87,0.02,15.29606643,67.0,13.8,120,5.0,8.79,5.0,0.1,219.1413528,24118979.0,19.5,19.7,0.381,6.8,57.0,293.0,61,0.02,15.29606643,67.0,85,44.0,8.79,45.0,0.1,219.1413528,16993354.0,15.7,16.3,0.381,6.8
Afghanistan,2003,Developing,56.7,295.0,87,0.01,11.08905273,65.0,13.4,122,41.0,8.82,41.0,0.1,198.7285436,2364851.0,19.7,19.9,0.373,6.5,56.7,295.0,61,0.01,11.08905273,65.0,85,44.0,8.82,45.0,0.1,198.7285436,2364851.0,15.7,16.3,0.373,6.5
Afghanistan,2002,Developing,56.2,3.0,88,0.01,16.88735091,64.0,13.0,122,36.0,7.76,36.0,0.1,187.84595,21979923.0,19.9,2.2,0.341,6.2,56.2,3.0,61,0.01,16.88735091,64.0,85,44.0,7.76,45.0,0.1,187.84595,16993354.0,15.7,2.2,0.341,6.2
Afghanistan,2001,Developing,55.3,316.0,88,0.01,10.5747282,63.0,12.6,122,35.0,7.8,33.0,0.1,117.49698000000001,2966463.0,2.1,2.4,0.34,5.9,55.3,316.0,61,0.01,10.5747282,63.0,85,44.0,7.8,45.0,0.1,117.49698000000001,2966463.0,2.1,2.4,0.34,5.9
Afghanistan,2000,Developing,54.8,321.0,88,0.01,10.42496,62.0,12.2,122,24.0,8.2,24.0,0.1,114.56,293756.0,2.3,2.5,0.33799999999999997,5.5,54.8,321.0,61,0.01,10.42496,62.0,85,44.0,8.2,45.0,0.1,114.56,293756.0,2.3,2.5,0.33799999999999997,5.5
Albania,2015,Developing,77.8,74.0,0,4.6,364.9752287,99.0,58.0,0,99.0,6.0,99.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2,77.8,74.0,0,4.6,364.9752287,99.0,0,99.0,6.0,99.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2
Albania,2014,Developing,77.5,8.0,0,4.51,428.74906680000004,98.0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,1.3,0.7609999999999999,14.2,77.5,8.0,0,4.51,428.74906680000004,98.0,1,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,1.3,0.7609999999999999,14.2
Albania,2013,Developing,77.2,84.0,0,4.76,430.8769785,99.0,56.5,1,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2,77.2,84.0,0,4.76,430.8769785,99.0,1,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2
Albania,2012,Developing,76.9,86.0,0,5.14,412.4433563,99.0,55.8,1,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2,76.9,86.0,0,5.14,412.4433563,99.0,1,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2
Albania,2011,Developing,76.6,88.0,0,5.37,437.0621,99.0,55.1,1,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3,76.6,88.0,0,5.37,437.0621,99.0,1,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3
Albania,2010,Developing,76.2,91.0,1,5.28,41.82275719,99.0,54.3,1,99.0,5.34,99.0,0.1,494.358832,291321.0,1.4,1.5,0.725,12.5,76.2,91.0,1,5.28,41.82275719,99.0,1,99.0,5.34,99.0,0.1,494.358832,291321.0,1.4,1.5,0.725,12.5
Albania,2009,Developing,76.1,91.0,1,5.79,348.0559517,98.0,53.5,1,98.0,5.79,98.0,0.1,4114.136545,2927519.0,1.5,1.6,0.721,12.2,76.1,91.0,1,5.79,348.0559517,98.0,1,98.0,5.79,98.0,0.1,4114.136545,2927519.0,1.5,1.6,0.721,12.2
Albania,2008,Developing,75.3,1.0,1,5.61,36.62206845,99.0,52.6,1,99.0,5.87,99.0,0.1,437.539647,2947314.0,1.6,1.6,0.713,12.0,75.3,1.0,1,5.61,36.62206845,99.0,1,99.0,5.87,99.0,0.1,437.539647,2947314.0,1.6,1.6,0.713,12.0
Albania,2007,Developing,75.9,9.0,1,5.58,32.24655228,98.0,51.7,1,99.0,6.1,98.0,0.1,363.13685,29717.0,1.6,1.7,0.703,11.6,75.9,9.0,1,5.58,32.24655228,98.0,1,99.0,6.1,98.0,0.1,363.13685,29717.0,1.6,1.7,0.703,11.6
Albania,2006,Developing,74.2,99.0,1,5.31,3.3021542,98.0,5.8,1,97.0,5.86,97.0,0.1,35.1293,2992547.0,1.7,1.8,0.696,11.4,74.2,99.0,1,5.31,3.3021542,98.0,1,97.0,5.86,97.0,0.1,35.1293,2992547.0,1.7,1.8,0.696,11.4
Albania,2005,Developing,73.5,15.0,1,5.16,26.99312143,98.0,49.9,1,97.0,6.12,98.0,0.1,279.14293100000003,311487.0,1.8,1.8,0.685,10.8,73.5,15.0,1,5.16,26.99312143,98.0,1,97.0,6.12,98.0,0.1,279.14293100000003,311487.0,1.8,1.8,0.685,10.8
Albania,2004,Developing,73.0,17.0,1,4.54,221.8428,99.0,48.9,1,98.0,6.38,97.0,0.1,2416.588235,326939.0,1.8,1.9,0.6809999999999999,10.9,73.0,17.0,1,4.54,221.8428,99.0,1,98.0,6.38,97.0,0.1,2416.588235,326939.0,1.8,1.9,0.6809999999999999,10.9
Albania,2003,Developing,72.8,18.0,1,4.29,14.71928882,97.0,47.9,1,97.0,6.27,97.0,0.1,189.681557,339616.0,1.9,2.0,0.674,10.7,72.8,18.0,1,4.29,14.71928882,97.0,1,97.0,6.27,97.0,0.1,189.681557,339616.0,1.9,2.0,0.674,10.7
Albania,2002,Developing,73.3,15.0,1,3.73,104.5169157,96.0,46.9,1,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7,73.3,15.0,1,3.73,104.5169157,96.0,1,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7
Albania,2001,Developing,73.6,14.0,1,4.25,96.20557078,96.0,46.0,1,97.0,6.0,97.0,0.1,1326.97339,36173.0,2.1,2.1,0.662,10.6,73.6,14.0,1,4.25,96.20557078,96.0,1,97.0,6.0,97.0,0.1,1326.97339,36173.0,2.1,2.1,0.662,10.6
Albania,2000,Developing,72.6,11.0,1,3.66,91.71154052,96.0,45.0,1,97.0,6.26,97.0,0.1,1175.7889810000001,38927.0,2.1,2.2,0.6559999999999999,10.7,72.6,11.0,1,3.66,91.71154052,96.0,1,97.0,6.26,97.0,0.1,1175.7889810000001,38927.0,2.1,2.2,0.6559999999999999,10.7
Algeria,2014,Developing,75.4,11.0,21,0.01,54.2373183,95.0,58.4,24,95.0,7.21,95.0,0.1,547.8517,39113313.0,6.0,5.8,0.741,14.4,75.4,11.0,21,0.01,54.2373183,95.0,24,95.0,7.21,95.0,0.1,547.8517,16993354.0,6.0,5.8,0.741,14.4
Algeria,2013,Developing,75.3,112.0,21,0.53,544.4507432,95.0,57.2,24,95.0,7.12,95.0,0.1,5471.866765999999,38338562.0,5.9,5.8,0.737,14.4,75.3,112.0,21,0.53,544.4507432,95.0,24,95.0,7.12,95.0,0.1,5471.866765999999,16993354.0,5.9,5.8,0.737,14.4
Algeria,2012,Developing,75.1,113.0,21,0.66,555.9260833999999,95.0,56.1,24,95.0,6.14,95.0,0.1,5564.82566,37565847.0,5.9,5.8,0.732,14.4,75.1,113.0,21,0.66,555.9260833999999,95.0,24,95.0,6.14,95.0,0.1,5564.82566,16993354.0,5.9,5.8,0.732,14.4
Algeria,2011,Developing,74.9,116.0,21,0.56,509.0020405,95.0,55.0,24,95.0,5.29,95.0,0.1,5432.2523,36819558.0,5.9,5.8,0.7240000000000001,14.0,74.9,116.0,21,0.56,509.0020405,95.0,24,95.0,5.29,95.0,0.1,5432.2523,16993354.0,5.9,5.8,0.7240000000000001,14.0
Algeria,2010,Developing,74.7,119.0,21,0.45,430.71758610000006,95.0,53.9,24,95.0,5.12,95.0,0.1,4463.394675,36117637.0,5.9,5.8,0.7140000000000001,13.6,74.7,119.0,21,0.45,430.71758610000006,95.0,24,95.0,5.12,95.0,0.1,4463.394675,16993354.0,5.9,5.8,0.7140000000000001,13.6
Algeria,2009,Developing,74.4,123.0,20,0.5,352.0636419,94.0,52.8,23,94.0,5.36,95.0,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1,74.4,123.0,20,0.5,352.0636419,94.0,23,94.0,5.36,95.0,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1
Algeria,2008,Developing,74.1,126.0,20,0.46,43.08717334,91.0,51.8,23,92.0,4.2,93.0,0.1,495.254866,3486715.0,6.0,5.9,0.6970000000000001,12.6,74.1,126.0,20,0.46,43.08717334,91.0,23,92.0,4.2,93.0,0.1,495.254866,3486715.0,6.0,5.9,0.6970000000000001,12.6
